,Oedenma,Non_Enhancing,Enhancing,Background
102,135912,9487,16998.0,8765603.0
103,37588,521,6473.0,8883418.0
104,70633,17187,15615.0,8824565.0
105,21432,22932,26417.0,8857219.0
106,28408,4122,3691.0,8891779.0
107,129871,21122,36577.0,8740430.0
108,79370,3149,8613.0,8836868.0
109,76498,23875,29915.0,8797712.0
110,111941,24241,80785.0,8711033.0
111,63649,10976,26254.0,8827121.0
112,65653,7137,34538.0,8820672.0
113,23115,8594,108.0,8896183.0
114,27792,474,943.0,8898791.0
115,87936,1475,14904.0,8823685.0
116,139145,13148,30043.0,8745664.0
117,31210,5932,494.0,8890364.0
118,12743,64882,3257.0,8847118.0
119,45957,48940,77776.0,8755327.0
120,75783,1588,6047.0,8844582.0
121,91687,19696,41792.0,8774825.0
122,91747,2152,2768.0,8831333.0
123,70194,38935,4158.0,8814713.0
124,130784,28927,44531.0,8723758.0
125,145705,11237,23676.0,8747382.0
126,64425,17795,11659.0,8834121.0
127,99125,9160,35681.0,8784034.0
128,90802,20231,26264.0,8790703.0
129,72030,8156,16288.0,8831526.0
130,8183,3384,8564.0,8907869.0
131,61070,64065,24120.0,8778745.0
132,41791,30560,17118.0,8838531.0
133,148263,4414,21250.0,8754073.0
134,171595,22347,28670.0,8705388.0
135,131010,4991,12061.0,8779938.0
136,69123,14640,8394.0,8835843.0
137,124698,6028,32104.0,8765170.0
138,18725,2310,9619.0,8897346.0
139,120891,47143,3384.0,8756582.0
140,35416,26912,18354.0,8847318.0
141,65869,7098,10830.0,8844203.0
142,29555,2710,8021.0,8887714.0
143,35592,11051,4653.0,8876704.0
144,24208,2899,9907.0,8890986.0
145,45496,23179,16986.0,8842339.0
146,24538,28736,,
147,34894,4514,21677.0,8866915.0
148,22839,18851,15813.0,8870497.0
149,19594,2287,8609.0,8897510.0
150,47516,16428,10048.0,8854008.0
151,128427,12395,9075.0,8778103.0
152,59124,42876,3852.0,8822148.0
153,57753,4736,14.0,8865497.0
154,21091,1034,2830.0,8903045.0
155,30952,2147,9134.0,8885767.0
156,77267,23876,74564.0,8752293.0
157,18283,1491,1591.0,8906635.0
158,14490,15279,41530.0,8856701.0
159,92012,1748,6149.0,8828091.0
160,83517,52012,65092.0,8727379.0
161,60217,76834,39005.0,8751944.0
162,7466,6878,6532.0,8907124.0
163,52950,26956,20796.0,8827298.0
164,19635,9905,26241.0,8872219.0
165,46588,20555,24430.0,8836427.0
166,85436,13238,18414.0,8810912.0
167,47925,97830,11994.0,8770251.0
168,35154,19887,20908.0,8852051.0
169,168281,22243,34734.0,8702742.0
170,129799,21725,19022.0,8757454.0
171,84369,6830,14373.0,8822428.0
172,125081,19298,15631.0,8767990.0
173,75286,17679,68592.0,8766443.0
174,117191,11591,36544.0,8762674.0
175,94456,19827,24947.0,8788770.0
176,129318,7195,49748.0,8741739.0
177,120984,18168,20097.0,8768751.0
178,108300,20098,66602.0,8733000.0
179,69570,1523,10930.0,8845977.0
180,38488,3736,7959.0,8877817.0
181,42405,7677,13148.0,8864770.0
182,10105,3066,8813.0,8906016.0
183,43082,341,1695.0,8882882.0
184,35186,326,9769.0,8882719.0
185,103227,6590,8577.0,8809606.0
186,211008,50933,56404.0,8609655.0
187,58885,37590,26259.0,8805266.0
188,123059,20192,28203.0,8756546.0
189,9315,6682,650.0,8911353.0
190,64361,9896,28936.0,8824807.0
191,42148,8107,13089.0,8864656.0
192,15723,4349,4362.0,8903566.0
193,10390,782,2287.0,8914541.0
194,119220,4334,97.0,8804349.0
195,73763,43995,39527.0,8770715.0
196,51564,9901,,
197,122115,19933,41422.0,8744530.0
198,9070,7867,9563.0,8901500.0
199,83088,15826,63709.0,8765377.0
200,61826,13047,8697.0,8844430.0
201,104016,4449,13105.0,8806430.0
202,79512,8116,69134.0,8771238.0
203,10376,3052,2899.0,8911673.0
204,17336,402,1412.0,8908850.0
205,68609,6401,22125.0,8830865.0
206,62134,11590,21854.0,8832422.0
207,133610,5985,14523.0,8773882.0
208,86107,28051,13031.0,8800811.0
209,48509,12769,14289.0,8852433.0
210,88963,9087,58556.0,8771394.0
211,3676,2139,1470.0,8920715.0
212,32078,157,1211.0,8894554.0
213,94553,25826,13892.0,8793729.0
214,155142,37517,22833.0,8712508.0
215,85940,13856,30709.0,8797495.0
216,59056,1719,6929.0,8860296.0
217,134355,39967,36578.0,8717100.0
218,46352,27663,9553.0,8844432.0
219,53050,27189,31485.0,8816276.0
220,50981,18024,28207.0,8830788.0
221,66373,3314,10080.0,8848233.0
222,45258,7458,4518.0,8870766.0
223,7981,310,4678.0,8915031.0
224,93875,11564,54370.0,8768191.0
225,44926,4940,446.0,8877688.0
226,127777,31357,23.0,8768843.0
227,124364,10581,8334.0,8784721.0
228,21792,5042,22401.0,8878765.0
229,8737,16887,,
230,113095,16412,19840.0,8778653.0
231,56471,38125,32638.0,8800766.0
232,28795,21404,61113.0,8816688.0
233,20150,17323,78688.0,8811839.0
234,66865,19049,6.0,8842080.0
235,20191,455,106.0,8907248.0
236,84198,38945,23877.0,8780980.0
237,126003,11698,60991.0,8729308.0
238,52743,14585,18330.0,8842342.0
239,36917,20756,36593.0,8833734.0
240,104691,15356,7414.0,8800539.0
241,139494,17023,54949.0,8716534.0
242,9561,9329,,
243,7806,672,,
244,70872,14348,41389.0,8801391.0
245,110117,7114,4556.0,8806213.0
246,129870,21122,36577.0,8740431.0
247,106203,86948,628.0,8734221.0
248,50571,11726,20431.0,8845272.0
249,45591,4873,4813.0,8872723.0
250,37895,4159,15114.0,8870832.0
251,11202,2546,8835.0,8905417.0
252,69428,9801,9884.0,8838887.0
253,20653,1632,1751.0,8903964.0
254,45189,57655,17816.0,8807340.0
255,24123,14483,8160.0,8881234.0
256,72568,19490,19020.0,8816922.0
257,149346,14826,4430.0,8759398.0
258,140935,48805,67135.0,8671125.0
259,172784,47779,4173.0,8703264.0
260,105764,2593,10957.0,8808686.0
261,36841,5969,22500.0,8862690.0
262,33964,81104,1430.0,8811502.0
263,27078,3271,10412.0,8887239.0
264,25665,3169,8994.0,8890172.0
265,50571,11727,20437.0,8845265.0
266,15411,12841,4048.0,8895700.0
267,21267,29581,36345.0,8840807.0
268,140933,48801,67135.0,8671131.0
269,26076,733,2998.0,8898193.0
270,91667,16013,79009.0,8741311.0
271,34822,163,1357.0,8891658.0
272,115092,19662,59500.0,8733746.0
273,74207,16119,806.0,8836868.0
274,123063,6284,38840.0,8759813.0
275,54960,1693,5701.0,8865646.0
276,67726,43484,53772.0,8763018.0
277,202099,45345,17810.0,8662746.0
278,54321,5487,20054.0,8848138.0
279,74456,10482,6708.0,8836354.0
280,76326,53224,16944.0,8781506.0
281,51519,22186,15807.0,8838488.0
282,73529,104900,2593.0,8746978.0
283,106610,3159,6823.0,8811408.0
284,111331,5165,7361.0,8804143.0
285,164048,9752,15211.0,8738989.0
286,61825,27014,74539.0,8764622.0
287,23094,9222,146.0,8895538.0
288,19162,733,5165.0,8902940.0
289,38607,18787,31255.0,8839351.0
290,22544,22543,12743.0,8870170.0
291,53852,14211,32491.0,8827446.0
292,156055,23009,48062.0,8700874.0
293,36528,19476,17433.0,8854563.0
294,161325,31339,8634.0,8726702.0
295,160681,11908,50410.0,8705001.0
296,31804,10496,4039.0,8881661.0
297,3806,1777,4518.0,8917899.0
298,112410,10326,47182.0,8758082.0
299,73741,45839,19677.0,8788743.0
300,38338,15955,22496.0,8851211.0
301,74917,7311,9523.0,8836249.0
302,127310,51500,513.0,8748677.0
303,31189,2666,3003.0,8891142.0
304,46780,1167,4951.0,8875102.0
305,48718,7404,7116.0,8864762.0
306,38311,12562,515.0,8876612.0
307,17770,4223,6402.0,8899605.0
308,32835,6192,12826.0,8876147.0
309,36268,384,1662.0,8889686.0
310,19829,8967,658.0,8898546.0
311,118243,27226,21152.0,8761379.0
312,21364,8872,25128.0,8872636.0
313,40134,125,4539.0,8883202.0
314,153499,10852,2790.0,8760859.0
315,45798,48610,33404.0,8800188.0
316,41235,8653,16760.0,8861352.0
317,18588,8696,48971.0,8851745.0
318,42605,17492,15510.0,8852393.0
319,26327,343,4439.0,8896891.0
320,25778,1420,2041.0,8898761.0
321,97033,19845,55874.0,8755248.0
322,23506,12220,98.0,8892176.0
323,196547,29656,27511.0,8674286.0
324,23598,6589,10937.0,8886876.0
325,133063,5991,36248.0,8752698.0
326,160462,17253,41130.0,8709155.0
327,32904,3872,6688.0,8884536.0
328,21263,21996,17097.0,8867644.0
329,25407,10437,27342.0,8864814.0
330,107610,8675,9002.0,8802713.0
331,57158,10590,7337.0,8852915.0
332,35657,17573,20014.0,8854756.0
333,15607,413,4467.0,8907513.0
334,37067,1590,20160.0,8869183.0
335,29514,10055,17506.0,8870925.0
336,95740,18897,28175.0,8785188.0
337,18410,11141,21184.0,8877265.0
338,44753,4603,5774.0,8872870.0
339,83276,69784,49869.0,8725071.0
340,70998,8759,50084.0,8798159.0
341,40774,10817,37598.0,8838811.0
342,109916,64065,43378.0,8710641.0
343,77866,14618,9172.0,8826344.0
344,97832,39438,28821.0,8761909.0
345,20156,24733,19458.0,8863653.0
346,146896,6675,10890.0,8763539.0
347,73738,45839,19677.0,8788746.0
348,94033,9430,20530.0,8804007.0
349,45070,42316,26.0,8840588.0
350,46835,6413,378.0,8874374.0
351,31775,19916,20919.0,8855390.0
352,23688,51736,72360.0,8780216.0
353,12753,94,,
354,34113,2152,314.0,8891421.0
355,31849,6898,3705.0,8885548.0
356,30118,1665,35019.0,8861198.0
357,147585,91100,9546.0,8679769.0
358,168794,15443,27742.0,8716021.0
359,193427,38558,36756.0,8659259.0
360,100397,41816,12360.0,8773427.0
361,12494,8413,708.0,8906385.0
362,15266,20173,,
363,47101,15951,87753.0,8777195.0
364,50523,5481,132.0,8871864.0
365,52006,9715,12567.0,8853712.0
366,54962,2435,3509.0,8867094.0
367,7553,3624,10786.0,8906037.0
368,57398,26654,79560.0,8764388.0
369,97686,32115,26546.0,8771653.0
370,30215,3398,6159.0,8888228.0
371,30670,10058,25944.0,8861328.0
372,17700,2485,3758.0,8904057.0
373,29143,19830,14186.0,8864841.0
374,21634,39266,38724.0,8828376.0
375,33130,12627,46904.0,8835339.0
376,23250,10734,9813.0,8884203.0
377,52279,6363,6793.0,8862565.0
378,74657,11978,13224.0,8828141.0
379,23177,8432,10595.0,8885796.0
380,52977,14950,2938.0,8857135.0
381,79934,10317,6527.0,8831222.0
382,58882,6619,22108.0,8840391.0
383,85913,8971,111250.0,8721866.0
384,37825,72040,324.0,8817811.0
385,54587,30054,64294.0,8779065.0
386,15904,44601,35310.0,8832185.0
387,126649,2506,30477.0,8768368.0
388,38535,1469,15488.0,8872508.0
389,29065,5989,10897.0,8882049.0
390,98746,30888,36506.0,8761860.0
391,50413,19968,11012.0,8846607.0
392,65949,25483,31160.0,8805408.0
393,68017,35285,20704.0,8803994.0
394,14046,60,2642.0,8911252.0
395,29723,5082,2624.0,8890571.0
396,38999,15876,17816.0,8855309.0
397,77171,41631,48023.0,8761175.0
398,55793,7328,14157.0,8850722.0
399,30607,23946,24262.0,8849185.0
400,50194,24832,79.0,8852895.0
401,34086,7587,12114.0,8874213.0
402,52794,18358,16172.0,8840676.0
403,109935,64066,43379.0,8710620.0
404,105390,109928,822.0,8711860.0
405,53697,32228,52126.0,8789949.0
406,51003,7730,408.0,8868859.0
407,29630,7049,43633.0,8847688.0
408,105497,19020,445.0,8803038.0
409,118607,6604,16444.0,8786345.0
410,148493,15173,13087.0,8751247.0
411,110759,19516,4076.0,8793649.0
412,44701,3614,33532.0,8846153.0
413,18340,43406,,
414,67269,10430,23187.0,8827114.0
415,10746,1031,994.0,8915229.0
416,47718,21763,81453.0,8777066.0
417,26577,42328,33150.0,8825945.0
418,45949,19049,26737.0,8836265.0
419,69974,4977,12802.0,8840247.0
420,15607,413,4467.0,8907513.0
421,134993,13642,30673.0,8748692.0
422,105050,4631,238.0,8818081.0
423,53736,1106,8219.0,8864939.0
424,36877,7100,9873.0,8874150.0
425,22019,29097,32631.0,8844253.0
426,71631,35916,120.0,8820333.0
427,32397,11435,20670.0,8863498.0
428,77110,43138,36385.0,8771367.0
429,74222,36118,26984.0,8790676.0
430,103826,4212,35721.0,8784241.0
431,25953,4487,,
432,53736,1106,8219.0,8864939.0
433,88681,11744,46747.0,8780828.0
434,51131,17817,30621.0,8828431.0
435,24327,50041,5256.0,8848376.0
436,11021,9746,99.0,8907134.0
437,128286,4992,12136.0,8782586.0
438,130000,50373,83377.0,8664250.0
439,148264,4414,21250.0,8754072.0
440,66247,43993,12716.0,8805044.0
441,19290,7110,406.0,8901194.0
442,58247,2437,7056.0,8860260.0
443,107905,27614,8266.0,8784215.0
444,23122,53300,1931.0,8849647.0
445,54086,21664,12325.0,8839925.0
446,8042,10504,2049.0,8907405.0
447,56542,5475,758.0,8865225.0
448,97067,57780,14338.0,8758815.0
449,12490,8413,708.0,8906389.0
450,18711,8769,27478.0,8873042.0
451,32237,2853,4321.0,8888589.0
452,93282,3815,888.0,8830015.0
453,48139,736,17941.0,8861184.0
454,86045,7491,7222.0,8827242.0
455,34950,9153,14167.0,8869730.0
456,87492,6802,14096.0,8819610.0
457,43785,6796,8665.0,8868754.0
458,80426,15565,26938.0,8805071.0
459,99270,17447,9779.0,8801504.0
460,106834,25359,50901.0,8744906.0
461,68807,13188,43375.0,8802630.0
462,32664,46692,30400.0,8818244.0
463,75076,574,15090.0,8837260.0
464,91981,20008,30143.0,8785868.0
465,52163,11371,33780.0,8830686.0
466,21178,2997,116726.0,8787099.0
467,34935,17111,39514.0,8836440.0
468,67089,19169,15158.0,8826584.0
469,70337,34148,40193.0,8783322.0
470,32986,13422,14894.0,8866698.0
471,66878,3277,25236.0,8832609.0
472,42928,6651,30995.0,8847426.0
473,40539,16558,40108.0,8830795.0
474,54524,8969,17276.0,8847231.0
475,114525,20649,31732.0,8761094.0
476,14747,35661,32372.0,8845220.0
477,62021,3274,17626.0,8845079.0
478,58687,80906,7878.0,8780529.0
479,52961,11910,19955.0,8843174.0
480,98301,8346,16009.0,8805344.0
481,39147,6323,29516.0,8853014.0
482,82575,11913,10878.0,8822634.0
483,79501,24753,6584.0,8817162.0
